31 May,THE MOST HOLY TRINITY,,,
1 June,Saint Justin,,,
2 June,Tuesday of the ninth week in Ordinary Time,,,
,Saints Marcellinus and Peter,,,
3 June,Saint Charles Lwanga,,,
4 June,Thursday of the ninth week in Ordinary Time,,,
5 June,Saint Boniface,,,
6 June,Saturday of the ninth week in Ordinary Time,,,
,Saint Norbert,,,
,Saint Marcellin Champagnat,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
7 June,THE MOST HOLY BODY AND BLOOD OF CHRIST,,,
8 June,Monday of the tenth week in Ordinary Time,,,
9 June,Tuesday of the tenth week in Ordinary Time,,,
,Saint Ephrem,,,
10 June,Wednesday of the tenth week in Ordinary Time,,,
11 June,Saint Barnabas,,,
12 June,THE MOST SACRED HEART OF JESUS,,,
13 June,Saturday of the tenth week in Ordinary Time,,,
,Saint Anthony of Padua,,,
,The Most Immaculate Heart of Mary,,,
,,,,
14 June,11 ORDINARY,,,
15 June,Monday of the eleventh week in Ordinary Time,,,
16 June,Tuesday of the eleventh week in Ordinary Time,,,
17 June,Wednesday of the eleventh week in Ordinary Time,,,
18 June,Thursday of the eleventh week in Ordinary Time,,,
19 June,Friday of the eleventh week in Ordinary Time,,,
,Saint Romuald,,,
20 June,Saturday of the eleventh week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
21 June,12 ORDINARY,,,
22 June,Saints John Fisher and Thomas More,,,
23 June,Tuesday of the twelfth week in Ordinary Time,,,
,Saint Paulinus of Nola,,,
24 June,THE NATIVITY OF SAINT JOHN THE BAPTIST,,,
25 June,Thursday of the twelfth week in Ordinary Time,,,
26 June,Friday of the twelfth week in Ordinary Time,,,
27 June,Saturday of the twelfth week in Ordinary Time,,,
,Saint Cyril of Alexandria,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
28 June,13 ORDINARY,,,
29 June,SAINTS PETER AND PAUL,,,
30 June,Tuesday of the thirteenth week in Ordinary Time,,,
,The First Martyrs of the Holy Roman Church,,,
1 July,Wednesday of the thirteenth week in Ordinary Time,,,
2 July,Thursday of the thirteenth week in Ordinary Time,,,
3 July,Saint Thomas,,,
4 July,Saturday of the thirteenth week in Ordinary Time,,,
,Saint Elizabeth of Portugal,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
5 July,14 ORDINARY,,,
6 July,Monday of the fourteenth week in Ordinary Time,,,
,Saint Maria Goretti,,,
7 July,Tuesday of the fourteenth week in Ordinary Time,,,
,Blessed Peter to Rot,,,
8 July,Wednesday of the fourteenth week in Ordinary Time,,,
9 July,Thursday of the fourteenth week in Ordinary Time,,,
,Saint Augustine Zhao Rong and companions,,,
10 July,Friday of the fourteenth week in Ordinary Time,,,
11 July,Saint Benedict,,,
,,,,
12 July,15 ORDINARY,,,
13 July,Monday of the fifteenth week in Ordinary Time,,,
,Saint Henry,,,
14 July,Tuesday of the fifteenth week in Ordinary Time,,,
,Saint Camillus de Lellis,,,
15 July,Saint Bonaventure,,,
16 July,Thursday of the fifteenth week in Ordinary Time,,,
,Our Lady of Mount Carmel,,,
17 July,Friday of the fifteenth week in Ordinary Time,,,
18 July,Saturday of the fifteenth week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
19 July,16 ORDINARY,,,
20 July,Monday of the sixteenth week in Ordinary Time,,,
,Saint Apollinaris,,,
21 July,Tuesday of the sixteenth week in Ordinary Time,,,
,Saint Lawrence of Brindisi,,,
22 July,Saint Mary Magdalene,,,
23 July,Thursday of the sixteenth week in Ordinary Time,,,
,Saint Bridget,,,
24 July,Friday of the sixteenth week in Ordinary Time,,,
,Saint Sharbel Mahkluf,,,
25 July,Saint James,,,
,,,,
26 July,17 ORDINARY,,,
27 July,Monday of the seventeenth week in Ordinary Time,,,
28 July,Tuesday of the seventeenth week in Ordinary Time,,,
29 July,"Saints Martha, Mary and Lazarus",,,
30 July,Thursday of the seventeenth week in Ordinary Time,,,
,Saint Peter Chrysologus,,,
31 July,Saint Ignatius Loyola,,,
1 August,Saint Alphonsus Liguori,,,
,,,,
2 August,18 ORDINARY,,,
3 August,Saint Dominic,,,
4 August,Saint John Vianney,,,
5 August,Wednesday of the eighteenth week in Ordinary Time,,,
,The Dedication of the Basilica of St Mary Major,,,
6 August,The Transfiguration of the Lord,,,
7 August,Friday of the eighteenth week in Ordinary Time,,,
,Saints Sixtus II and companions,,,
,Saint Cajetan,,,
8 August,SAINT MARY OF THE CROSS,,,
,,,,
9 August,19 ORDINARY,,,
10 August,Saint Lawrence,,,
11 August,Saint Clare,,,
12 August,Wednesday of the nineteenth week in Ordinary Time,,,
,Saint Jane Frances de Chantal,,,
13 August,Thursday of the nineteenth week in Ordinary Time,,,
,Saints Pontian and Hippolytus,,,
14 August,Saint Maximilian Kolbe,,,
15 August,THE ASSUMPTION OF THE BLESSED VIRGIN MARY,,,
,,,,
16 August,20 ORDINARY,,,
17 August,Monday of the twentieth week in Ordinary Time,,,
18 August,Tuesday of the twentieth week in Ordinary Time,,,
19 August,Wednesday of the twentieth week in Ordinary Time,,,
,Saint John Eudes,,,
20 August,Saint Bernard,,,
21 August,Saint Pius X,,,
22 August,The Queenship of the Blessed Virgin Mary,,,
,,,,
23 August,21 ORDINARY,,,
24 August,Saint Bartholomew,,,
25 August,Tuesday of the twenty-first week in Ordinary Time,,,
,Saint Louis,,,
,Saint Joseph Calasanz,,,
26 August,Wednesday of the twenty-first week in Ordinary Time,,,
27 August,Saint Monica,,,
28 August,Saint Augustine,,,
29 August,The Passion of Saint John the Baptist,,,
,,,,
30 August,22 ORDINARY,,,
31 August,Monday of the twenty-second week in Ordinary Time,,,
1 September,Tuesday of the twenty-second week in Ordinary Time,,,
2 September,Wednesday of the twenty-second week in Ordinary Time,,,
3 September,Saint Gregory the Great,,,
4 September,Friday of the twenty-second week in Ordinary Time,,,
,Ember Day,,,
5 September,Saturday of the twenty-second week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
6 September,23 ORDINARY,,,
7 September,Monday of the twenty-third week in Ordinary Time,,,
8 September,The Nativity of the Blessed Virgin Mary,,,
9 September,Wednesday of the twenty-third week in Ordinary Time,,,
,Saint Peter Claver,,,
10 September,Thursday of the twenty-third week in Ordinary Time,,,
11 September,Friday of the twenty-third week in Ordinary Time,,,
12 September,Saturday of the twenty-third week in Ordinary Time,,,
,The Most Holy Name of Mary,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
13 September,24 ORDINARY,,,
14 September,The Exaltation of the Holy Cross,,,
15 September,Our Lady of Sorrows,,,
16 September,Saints Cornelius and Cyprian,,,
17 September,Thursday of the twenty-fourth week in Ordinary Time,,,
,Saint Hildegard of Bingen,,,
,Saint Robert Bellarmine,,,
18 September,Friday of the twenty-fourth week in Ordinary Time,,,
19 September,Saturday of the twenty-fourth week in Ordinary Time,,,
,Saint Januarius,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
20 September,25 ORDINARY,,,
21 September,Saint Matthew,,,
22 September,Tuesday of the twenty-fifth week in Ordinary Time,,,
23 September,Saint Pius of Pietrelcina,,,
24 September,Thursday of the twenty-fifth week in Ordinary Time,,,
25 September,Friday of the twenty-fifth week in Ordinary Time,,,
26 September,Saturday of the twenty-fifth week in Ordinary Time,,,
,Saints Cosmas and Damian,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
27 September,26 ORDINARY,,,
28 September,Monday of the twenty-sixth week in Ordinary Time,,,
,Saint Wenceslaus,,,
,Saint Lawrence Ruiz and Companions,,,
29 September,"Saints Michael, Gabriel and Raphael",,,
30 September,Saint Jerome,,,
1 October,Saint Thérèse of the Child Jesus,,,
2 October,The Holy Guardian Angels,,,
3 October,Saturday of the twenty-sixth week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
4 October,27 ORDINARY,,,
5 October,Monday of the twenty-seventh week in Ordinary Time,,,
,Saint Faustina Kowalska,,,
6 October,Tuesday of the twenty-seventh week in Ordinary Time,,,
,Saint Bruno,,,
7 October,Our Lady of the Rosary,,,
8 October,Thursday of the twenty-seventh week in Ordinary Time,,,
9 October,Friday of the twenty-seventh week in Ordinary Time,,,
,Saints Denis and companions,,,
,Saint John Leonardi,,,
10 October,Saturday of the twenty-seventh week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
11 October,28 ORDINARY,,,
12 October,Monday of the twenty-eighth week in Ordinary Time,,,
13 October,Tuesday of the twenty-eighth week in Ordinary Time,,,
14 October,Wednesday of the twenty-eighth week in Ordinary Time,,,
,Saint Callistus I,,,
15 October,Saint Teresa of Jesus,,,
16 October,Friday of the twenty-eighth week in Ordinary Time,,,
,Saint Hedwig,,,
,Saint Margaret Mary Alacoque,,,
17 October,Saint Ignatius of Antioch,,,
,,,,
18 October,29 ORDINARY,,,
19 October,Monday of the twenty-ninth week in Ordinary Time,,,
,Saints John de Brébeuf and Isaac Jogues,,,
,Saint Paul of the Cross,,,
20 October,Tuesday of the twenty-ninth week in Ordinary Time,,,
21 October,Wednesday of the twenty-ninth week in Ordinary Time,,,
22 October,Thursday of the twenty-ninth week in Ordinary Time,,,
,Saint John Paul II,,,
23 October,Friday of the twenty-ninth week in Ordinary Time,,,
,Saint John of Capistrano,,,
24 October,Saturday of the twenty-ninth week in Ordinary Time,,,
,Saint Anthony Mary Claret,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
25 October,30 ORDINARY,,,
26 October,Monday of the thirtieth week,,,
27 October,Tuesday of the thirtieth week,,,
28 October,Saints Simon and Jude,,,
29 October,Thursday of the thirtieth week,,,
30 October,Friday of the thirtieth week,,,
31 October,Saturday of the thirtieth week,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
1 November,ALL SAINTS,,,
2 November,THE COMMEMORATION OF ALL THE FAITHFUL DEPARTED,,,
3 November,Tuesday of the thirty-first week in Ordinary Time,,,
,Saint Martin de Porres,,,
4 November,Saint Charles Borromeo,,,
5 November,Thursday of the thirty-first week in Ordinary Time,,,
6 November,Friday of the thirty-first week in Ordinary Time,,,
7 November,Saturday of the thirty-first week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
8 November,32 ORDINARY,,,
9 November,The Dedication of the Lateran Basilica,,,
10 November,Saint Leo the Great,,,
11 November,Saint Martin of Tours,,,
12 November,Saint Josaphat,,,
13 November,Friday of the thirty-second week in Ordinary Time,,,
14 November,Saturday of the thirty-second week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
15 November,33 ORDINARY,,,
16 November,Monday of the thirty-third week in Ordinary Time,,,
,Saint Gertrude,,,
,Saint Margaret of Scotland,,,
17 November,Saint Elizabeth of Hungary,,,
