Admin Order,Year,Week,Day,Time,Liturgical Day,First Reading,Psalm,Second Reading,Gospel Reading,Reflection,Author,Organisation
97,C,29,Sunday,Ordinary,TWENTY-NINTH SUNDAY,Exodus 17:8-13,Psalm 120,2 Timothy 3:14 – 4:2,Luke 18:1-8,,,
98,C,30,Sunday,Ordinary,THIRTIETH SUNDAY,"Sirach 35:12-14, 16-19","Psalm 32:2-3, 17-19, 23","2 Timothy 4:6-8, 16-18",Luke 18:9-14,,,
99,C,31,Sunday,Ordinary,THIRTY-FIRST SUNDAY,Wisdom 11:22 – 12:2,"Psalm 144:1-2, 8-11, 13-14",2 Thessalonians 1:11 – 2:2,Luke 19:1-10,,,
100,C,32,Sunday,Ordinary,THIRTY-SECOND SUNDAY,"2 Maccabees 7:1-2, 9-14","Psalm 16:1, 5-6, 8, 15",2 Thessalonians 2:16 – 3:5,Luke 20:27-38,,,
101,C,33,Sunday,Ordinary,THIRTY-THIRD SUNDAY,Malachi 3:19-20,Psalm 97:5-9,2 Thessalonians 3:7-12,Luke 21:5-19,,,
102,C,34,Sunday,Ordinary,"OUR LORD JESUS CHRIST, KING OF THE UNIVERSE",2 Samuel 5:1-3,Psalm 121:1-5,Colossians 1:12-20,Luke 23:35-43,,,
103,A,Solemnity,Sunday,Ordinary,"TRINITY SUNDAY, Year A","Exodus 34:4-6, 8-9",Daniel 3:52-56,2 Corinthians 13:11-13,John 3:16-18,,,
104,A,Solemnity,Thursday,Ordinary,"THE BODY AND BLOOD OF CHRIST, Year A","Deuteronomy 8:2-3, 14-16","Psalm 147:12-15, 19-20",1 Corinthians 10:16-17,John 6:51-58,,,
105,A,Solemnity,Friday,Ordinary,"MOST SACRED HEART OF JESUS, Year A",Deuteronomy 7:6-11,"Psalm 102:1-4, 6-8, 10",1 John 4:7-16,Matthew 11:25-30,,,
106,B,Solemnity,Sunday,Ordinary,"TRINITY SUNDAY, Year B","Deuteronomy 4:32-34, 39-40","Psalm 32:4-6, 9, 18-20, 22",Romans 8:14-17,Matthew 28:16-20,,,
107,B,Solemnity,Thursday,Ordinary,"THE BODY AND BLOOD OF CHRIST, Year B",Exodus 24:3-8,"Psalm 115:12-13, 15-18",Hebrews 9:11-15,"Mark 14:12-16, 22-26",,,
108,B,Solemnity,Friday,Ordinary,"MOST SACRED HEART OF JESUS, Year B","Hosea 11:1, 3-4, 8-9",Isaiah 12:2-6,"Ephesians 3:8-12,14-19",John 19:31-37,,,
109,C,Solemnity,Sunday,Ordinary,"TRINITY SUNDAY, Year C",Proverbs 8:22-31,Psalm 8:4-9,Romans 5:1-5,John 16:12-15,,,
110,C,Solemnity,Thursday,Ordinary,"THE BODY AND BLOOD OF CHRIST, Year C",Genesis 14:18-20,Psalm 109:1-4,1 Corinthians 11:23-26,Luke 9:11-17,,,
111,C,Solemnity,Friday,Ordinary,"MOST SACRED HEART OF JESUS, Year C",Ezekiel 34:11-16,Psalm 22,Romans 5:5-11,Luke 15:3-7,,,
112,1,1,Monday,Ordinary,Monday of the first week,Hebrews 1:1-6,"Psalm 96:1-2, 6-7, 9",,Mark 1:14-20,,,
113,1,1,Tuesday,Ordinary,Tuesday of the first week,Hebrews 2:5-12,"Psalm 8:2, 5-9",,Mark 1:21-28,,,
114,1,1,Wednesday,Ordinary,Wednesday of the first week,Hebrews 2:14-18,"Psalm 104:1-4, 6-9",,Mark 1:29-39,,,
115,1,1,Thursday,Ordinary,Thursday of the first week,Hebrews 3:7-14,Psalm 94:6-11,,Mark 1:40-45,,,
116,1,1,Friday,Ordinary,Friday of the first week,"Hebrews 4:1-5, 11","Psalm 77:3-4, 6-8",,Mark 2:1-12,,,
117,1,1,Saturday,Ordinary,Saturday of the first week,Hebrews 4:12-16,"Psalm 18:8-10, 15",,Mark 2:13-17,,,
118,1,2,Monday,Ordinary,Monday of the second week,Hebrews 5:1-10,Psalm 109:1-4,,Mark 2:18-22,,,
119,1,2,Tuesday,Ordinary,Tuesday of the second week,Hebrews 6:10-20,"Psalm 110:1-2, 4-5, 9, 10",,Mark 2:23-28,,,
120,1,2,Wednesday,Ordinary,Wednesday of the second week,"Hebrews 7:1-3, 15-17",Psalm 109:1-4,,Mark 3:1-6,,,
121,1,2,Thursday,Ordinary,Thursday of the second week,Hebrews 7:25 – 8:6,"Psalm 39:7-10, 17",,Mark 3:7-12,,,
122,1,2,Friday,Ordinary,Friday of the second week,Hebrews 8:6-13,"Psalm 84:8, 10-14",,Mark 3:13-19,,,
123,1,2,Saturday,Ordinary,Saturday of the second week,"Hebrews 9:2-3, 11-14","Psalm 46:2-3, 6-9",,Mark 3:20-21,,,
124,1,3,Monday,Ordinary,Monday of the third week,"Hebrews 9:15, 24-28",Psalm 97:1-6,,Mark 3:22-30,,,
125,1,3,Tuesday,Ordinary,Tuesday of the third week,Hebrews 10:1-10,"Psalm 39:2, 4, 7-8, 10-11",,Mark 3:31-35,,,
126,1,3,Wednesday,Ordinary,Wednesday of the third week,Hebrews 10:11-18,Psalm 109:1-4,,Mark 4:1-20,,,
127,1,3,Thursday,Ordinary,Thursday of the third week,Hebrews 10:19-25,Psalm 23:1-6,,Mark 4:21-25,,,
128,1,3,Friday,Ordinary,Friday of the third week,Hebrews 10:32-39,"Psalm 36:3-6, 23-24, 39-40",,Mark 4:26-34,,,
129,1,3,Saturday,Ordinary,Saturday of the third week,"Hebrews 11:1-2, 8-19",Luke 1:69-75,,Mark 4:35-41,,,
130,1,4,Monday,Ordinary,Monday of the fourth week,Hebrews 11:32-40,Psalm 30:20-24,,Mark 5:1-20,,,
131,1,4,Tuesday,Ordinary,Tuesday of the fourth week,Hebrews 12:1-4,"Psalm 21:26-28, 30-32",,Mark 5:21-43,,,
132,1,4,Wednesday,Ordinary,Wednesday of the fourth week,"Hebrews 12:4-7, 11-15","Psalm 102:1-2, 13-14, 17-18",,Mark 6:1-6,,,
133,1,4,Thursday,Ordinary,Thursday of the fourth week,"Hebrews 12:18-19, 21-24","Psalm 47:2-4, 9-11",,Mark 6:7-13,,,
134,1,4,Friday,Ordinary,Friday of the fourth week,Hebrews 13:1-8,"Psalm 26:1, 3, 5, 8-9",,Mark 6:14-29,,,
135,1,4,Saturday,Ordinary,Saturday of the fourth week,"Hebrews 13:15-17, 20-21",Psalm 22,,Mark 6:30-34,,,
136,1,5,Monday,Ordinary,Monday of the fifth week,Genesis 1:1-19,"Psalm 103:1-2, 5-6, 10, 12, 24, 35",,Mark 6:53-56,,,
137,1,5,Tuesday,Ordinary,Tuesday of the fifth week,Genesis 1:20 – 2:4,Psalm 8:4-9,,Mark 7:1-13,,,
138,1,5,Wednesday,Ordinary,Wednesday of the fifth week,"Genesis 2:4-9, 15-17","Psalm 103:1-2, 27-30",,Mark 7:14-23,,,
139,1,5,Thursday,Ordinary,Thursday of the fifth week,Genesis 2:18-25,Psalm 127:1-5,,Mark 7:24-30,,,
140,1,5,Friday,Ordinary,Friday of the fifth week,Genesis 3:1-8,"Psalm 31:1-2, 5-7",,Mark 7:31-37,,,
141,1,5,Saturday,Ordinary,Saturday of the fifth week,Genesis 3:9-24,"Psalm 89:2-6, 12-13",,Mark 8:1-10,,,
142,1,6,Monday,Ordinary,Monday of the sixth week,"Genesis 4:1-15, 25","Psalm 49:1, 8, 16-17, 20-21",,Mark 8:11-13,,,
143,1,6,Tuesday,Ordinary,Tuesday of the sixth week,"Genesis 6:5-8, 7:1-5, 10","Psalm 28:1-4, 9-10",,Mark 8:14-21,,,
144,1,6,Wednesday,Ordinary,Wednesday of the sixth week,"Genesis 8:6-13, 20-22","Psalm 115:12-15, 18-19",,Mark 8:22-26,,,
145,1,6,Thursday,Ordinary,Thursday of the sixth week,Genesis 9:1-13,"Psalm 101:16-21, 29, 22-23",,Mark 8:27-33,,,
146,1,6,Friday,Ordinary,Friday of the sixth week,Genesis 11:1-9,Psalm 32:10-15,,Mark 8:34 – 9:1,,,
147,1,6,Saturday,Ordinary,Saturday of the sixth week,Hebrews 11:1-7,"Psalm 144:2-5, 10-11",,Mark 9:2-13,,,
148,1,7,Monday,Ordinary,Monday of the seventh week,Sirach 1:1-10,"Psalm 92:1-2, 5",,Mark 9:14-29,,,
149,1,7,Tuesday,Ordinary,Tuesday of the seventh week,Sirach 2:1-11,"Psalm 36:3-4, 18-19, 27-28, 39-40",,Mark 9:30-37,,,
150,1,7,Wednesday,Ordinary,Wednesday of the seventh week,Sirach 4:11-19,"Psalm 118:165, 168, 171-2, 174-5",,Mark 9:38-40,,,
151,1,7,Thursday,Ordinary,Thursday of the seventh week,Sirach 5:1-8,"Psalm 1:1-4, 6",,Mark 9:41-50,,,
152,1,7,Friday,Ordinary,Friday of the seventh week,Sirach 6:5-17,"Psalm 118:12, 16, 18, 27, 34-35",,Mark 10:1-12,,,
153,1,7,Saturday,Ordinary,Saturday of the seventh week,Sirach 17:1-15,Psalm 102:13-18,,Mark 10:13-16,,,
154,1,8,Monday,Ordinary,Monday of the eighth week,Sirach 17:24-29,"Psalm 31:1-2, 5-7",,Mark 10:17-27,,,
155,1,8,Tuesday,Ordinary,Tuesday of the eighth week,Sirach 35:1-12,"Psalm 49:5-8, 14, 23",,Mark 10:28-31,,,
156,1,8,Wednesday,Ordinary,Wednesday of the eighth week,"Sirach 36:1, 4-5, 10-17","Psalm 78:8-9, 11, 13",,Mark 10:32-45,,,
157,1,8,Thursday,Ordinary,Thursday of the eighth week,Sirach 42:15-25,Psalm 32:2-9,,Mark 10:46-52,,,
158,1,8,Friday,Ordinary,Friday of the eighth week,"Sirach 44:1, 9-13","Psalm 149:1-6, 9",,Mark 11:11-26,,,
159,1,8,Saturday,Ordinary,Saturday of the eighth week,Sirach 51:12-20,Psalm 18:8-11,,Mark 11:27-33,,,
160,1,9,Monday,Ordinary,Monday of the ninth week,Tobit 1:3; 2:1-8,Psalm 111:1-6,,Mark 12:1-12,,,
161,1,9,Tuesday,Ordinary,Tuesday of the ninth week,Tobit 2:9-14,"Psalm 111:1-2, 7-9",,Mark 12:13-17,,,
162,1,9,Wednesday,Ordinary,Wednesday of the ninth week,"Tobit 3:1-11, 16-17",Psalm 24:2-9,,Mark 12:18-27,,,
163,1,9,Thursday,Ordinary,Thursday of the ninth week,"Tobit 6:10-11; 7:1, 9-14; 8:4-9",Psalm 127:1-5,,Mark 12:28-34,,,
164,1,9,Friday,Ordinary,Friday of the ninth week,Tobit 11:5-17,"Psalm 145:2, 7-10",,Mark 12:35-37,,,
165,1,9,Saturday,Ordinary,Saturday of the ninth week,"Tobit 12:1, 5-15, 20","Tobit 13:2, 6-8",,Mark 12:38-44,,,
166,1,10,Monday,Ordinary,Monday of the tenth week,2 Corinthians 1:1-7,Psalm 33:2-9,,Matthew 5:1-12,,,
167,1,10,Tuesday,Ordinary,Tuesday of the tenth week,2 Corinthians 1:18-22,"Psalm 118:129-133, 135",,Matthew 5:13-16,,,
168,1,10,Wednesday,Ordinary,Wednesday of the tenth week,2 Corinthians 3:4-11,Psalm 98:5-9,,Matthew 5:17-19,,,
169,1,10,Thursday,Ordinary,Thursday of the tenth week,"2 Corinthians 3:15 – 4:1, 3-6",Psalm 84:9-14,,Matthew 5:20-26,,,
170,1,10,Friday,Ordinary,Friday of the tenth week,2 Corinthians 4:7-15,"Psalm 115:10-11, 15-18",,Matthew 5:27-32,,,
171,1,10,Saturday,Ordinary,Saturday of the tenth week,2 Corinthians 5:14-21,"Psalm 102:1-4, 8-9, 11-12",,Matthew 5:33-37,,,
172,1,11,Monday,Ordinary,Monday of the eleventh week,2 Corinthians 6:1-10,Psalm 97:1-4,,Matthew 5:38-42,,,
173,1,11,Tuesday,Ordinary,Tuesday of the eleventh week,2 Corinthians 8:1-9,"Psalm 145:2, 5-9",,Matthew 5:43-48,,,
174,1,11,Wednesday,Ordinary,Wednesday of the eleventh week,2 Corinthians 9:6-11,"Psalm 111:1-4, 9",,"Matthew 6:1-6, 16-18",,,
175,1,11,Thursday,Ordinary,Thursday of the eleventh week,2 Corinthians 11:1-11,"Psalm 110:1-4, 7-8",,Matthew 6:7-15,,,
176,1,11,Friday,Ordinary,Friday of the eleventh week,"2 Corinthians 11:18, 21-30",Psalm 33:2-7,,Matthew 6:19-23,,,
177,1,11,Saturday,Ordinary,Saturday of the eleventh week,2 Corinthians 12:1-10,Psalm 33:8-13,,Matthew 6:24-34,,,
178,1,12,Monday,Ordinary,Monday of the twelfth week,Genesis 12:1-9,"Psalm 32:12-13, 18-20, 22",,Matthew 7:1-5,,,
179,1,12,Tuesday,Ordinary,Tuesday of the twelfth week,"Genesis 13:2, 5-18",Psalm 14:2-5,,"Matthew 7:6, 12-14",,,
180,1,12,Wednesday,Ordinary,Wednesday of the twelfth week,"Genesis 15:1-12, 17-18","Psalm 104:1-4, 6-9",,Matthew 7:15-20,,,
