Admin Order,Year,Week,Day,Time,Liturgical Day,First Reading,Psalm,Second Reading,Gospel Reading,Reflection,Author,Organisation
410,2,16,Friday,Ordinary,Friday of the sixteenth week,Jeremiah 3:14-17,Jeremiah 31:10-13,,Matthew 13:18-23,,,
411,2,16,Saturday,Ordinary,Saturday of the sixteenth week,Jeremiah 7:1-11,"Psalm 83:3-6, 8, 11",,Matthew 13:24-30,,,
412,2,17,Monday,Ordinary,Monday of the seventeenth week,Jeremiah 13:1-11,Deuteronomy 32:18-21,,Matthew 13:31-35,,,
413,2,17,Tuesday,Ordinary,Tuesday of the seventeenth week,Jeremiah 14:17-22,"Psalm 78:8-9, 11, 13",,Matthew 13:36-43,,,
414,2,17,Wednesday,Ordinary,Wednesday of the seventeenth week,"Jeremiah 15:10, 16-21","Psalm 58:2-5, 10-11, 17-18",,Matthew 13:44-46,,,
415,2,17,Thursday,Ordinary,Thursday of the seventeenth week,Jeremiah 18:1-6,Psalm 145:2-6,,"Matthew 13:47, 53",,,
416,2,17,Friday,Ordinary,Friday of the seventeenth week,Jeremiah 26:1-9,"Psalm 68:5, 8-10, 14",,Matthew 13:54-58,,,
417,2,17,Saturday,Ordinary,Saturday of the seventeenth week,"Jeremiah 26:11-16, 24","Psalm 68:15-16, 30-31, 33-34",,Matthew 14:1-12,,,
418,2,18,Monday,Ordinary,Monday of the eighteenth week,Jeremiah 28:1-17,"Psalm 118:29, 43, 79-80, 95, 102",,Matthew 14:13-21,,,
419,2,18,Tuesday,Ordinary,Tuesday of the eighteenth week,"Jeremiah 30:1-2, 12-15, 18-22","Psalm 101:16-21, 29, 22-23",,Matthew 14:22-36,,,
420,2,18,Wednesday,Ordinary,Wednesday of the eighteenth week,Jeremiah 31:1-7,Jeremiah 31:10-13,,Matthew 15:21-28,,,
421,2,18,Thursday,Ordinary,Thursday of the eighteenth week,Jeremiah 31:31-34,"Psalm 50:12-15, 18-19",,Matthew 16:13-23,,,
422,2,18,Friday,Ordinary,Friday of the eighteenth week,"Nahum 2:1, 3; 3:1-3, 6-7","Deuteronomy 32:35-36, 39, 41",,Matthew 16:24-28,,,
423,2,18,Saturday,Ordinary,Saturday of the eighteenth week,Habakkuk 1:12 – 2:4,Psalm 9:8-13,,Matthew 17:14-20,,,
424,2,19,Monday,Ordinary,Monday of the nineteenth week,"Ezekiel 1:2-5, 24-28","Psalm 148:1-2, 11-14",,Matthew 17:22-27,,,
425,2,19,Tuesday,Ordinary,Tuesday of the nineteenth week,Ezekiel 2:8 – 3:4,"Psalm 118:14, 24, 72, 103, 111, 131",,"Matthew 18:1-5, 10, 12-14",,,
426,2,19,Wednesday,Ordinary,Wednesday of the nineteenth week,Ezekiel 9:1-7; 10:18-22,Psalm 112:1-6,,Matthew 18:15-20,,,
427,2,19,Thursday,Ordinary,Thursday of the nineteenth week,Ezekiel 12:1-12,"Psalm 77:56-59, 61-62",,Matthew 18:21-9:1,,,
428,2,19,Friday,Ordinary,Friday of the nineteenth week,"Ezekiel 16:1-15, 60, 63",Isaiah 12:2-6,,Matthew 19:3-12,,,
429,2,19,Saturday,Ordinary,Saturday of the nineteenth week,"Ezekiel 18:1-10, 13, 30-32","Psalm 50:12-15, 18-19",,Matthew 19:13-15,,,
430,2,20,Monday,Ordinary,Monday of the twentieth week,Ezekiel 24:15-24,Deuteronomy 32:18-21,,Matthew 19:16-22,,,
431,2,20,Tuesday,Ordinary,Tuesday of the twentieth week,Ezekiel 28:1-10,"Deuteronomy 32:26-28, 30, 35-36",,Matthew 19:23-30,,,
432,2,20,Wednesday,Ordinary,Wednesday of the twentieth week,Ezekiel 34:1-11,Psalm 22,,Matthew 20:1-16,,,
433,2,20,Thursday,Ordinary,Thursday of the twentieth week,Ezekiel 36:23-28,"Psalm 50:12-15, 18-19",,Matthew 22:1-14,,,
434,2,20,Friday,Ordinary,Friday of the twentieth week,Ezekiel 37:1-14,Psalm 106:2-9,,Matthew 22:34-40,,,
435,2,20,Saturday,Ordinary,Saturday of the twentieth week,Ezekiel 43:1-7,Psalm 84:9-14,,Matthew 23:1-12,,,
436,2,21,Monday,Ordinary,Monday of the twenty-first week,"2 Thessalonians 1:1-5,11-12",Psalm 95:1-5,,Matthew 23:13-22,,,
437,2,21,Tuesday,Ordinary,Tuesday of the twenty-first week,"2 Thessalonians 2:1-3,14-17",Psalm 95:10-13,,Matthew 23:23-26,,,
438,2,21,Wednesday,Ordinary,Wednesday of the twenty-first week,"2 Thessalonians 3:6-10,16-18","Psalm 127:1-2, 4-5",,Matthew 23:27-32,,,
439,2,21,Thursday,Ordinary,Thursday of the twenty-first week,1 Corinthians 1:1-9,Psalm 144:2-7,,Matthew 24:42-51,,,
440,2,21,Friday,Ordinary,Friday of the twenty-first week,1 Corinthians 1:17-25,"Psalm 32:1-2, 4-5, 10-11",,Matthew 25:1-13,,,
441,2,21,Saturday,Ordinary,Saturday of the twenty-first week,1 C Corinthians 1:26-31,"Psalm 32:12-13, 18-21",,Matthew 25:14-30,,,
442,2,22,Monday,Ordinary,Monday of the twenty-second week,1 Corinthians 2:1-5,Psalm 118:97-102,,Luke 4:16-30,,,
443,2,22,Tuesday,Ordinary,Tuesday of the twenty-second week,1 Corinthians 2:10-16,Psalm 144:8-14,,Luke 4:31-37,,,
444,2,22,Wednesday,Ordinary,Wednesday of the twenty-second week,1 Corinthians 3:1-9,"Psalm 32:12-15, 20-21",,Luke 4:38-44,,,
445,2,22,Thursday,Ordinary,Thursday of the twenty-second week,1 Corinthians 3:18-23,Psalm 23:1-6,,Luke 5:1-11,,,
446,2,22,Friday,Ordinary,Friday of the twenty-second week,1 Corinthians 4:1-5,"Psalm 36:3-6, 27-28, 39-40",,Luke 5:33-39,,,
447,2,22,Saturday,Ordinary,Saturday of the twenty-second week,1 Corinthians 4:6-15,Psalm 144:17-21,,Luke 6:1-5,,,
448,2,23,Monday,Ordinary,Monday of the twenty-third week,1 Corinthians 5:1-8,"Psalm 5:5-7, 12",,Luke 6:6-11,,,
449,2,23,Tuesday,Ordinary,Tuesday of the twenty-third week,1 Corinthians 6:1-11,"Psalm 149:1-6, 9",,Luke 6:12-19,,,
450,2,23,Wednesday,Ordinary,Wednesday of the twenty-third week,1 Corinthians 7:25-31,"Psalm 44:11-12, 14-17",,Luke 6:20-26,,,
451,2,23,Thursday,Ordinary,Thursday of the twenty-third week,"1 Corinthians 8:1-7,11-13","Psalm 138:1-3, 13-14, 23-24",,Luke 6:27-38,,,
452,2,23,Friday,Ordinary,Friday of the twenty-third week,"1 Corinthians 9:16-19, 22-27","Psalm 83:3-6, 12",,Luke 6:39-42,,,
453,2,23,Saturday,Ordinary,Saturday of the twenty-third week,1 Corinthians 10:14-22,"Psalm 115:12-13, 17-18",,Luke 6:43-49,,,
454,2,24,Monday,Ordinary,Monday of the twenty-fourth week,"1 Corinthians 11:17-26, 33","Psalm 39:7-10, 17",,Luke 7:1-10,,,
455,2,24,Tuesday,Ordinary,Tuesday of the twenty-fourth week,"1 Corinthians 12:12-14, 27-31",Psalm 99,,Luke 7:11-17,,,
456,2,24,Wednesday,Ordinary,Wednesday of the twenty-fourth week,1 Corinthians 12:31 – 13:13,"Psalm 32:2-5, 12, 22",,Luke 7:31-35,,,
457,2,24,Thursday,Ordinary,Thursday of the twenty-fourth week,1 Corinthians 15:1-11,"Psalm 117:1-2, 15-17, 28",,Luke 7:36-50,,,
458,2,24,Friday,Ordinary,Friday of the twenty-fourth week,1 Corinthians 15:12-20,"Psalm 16:1, 6-8, 15",,Luke 8:1-3,,,
459,2,24,Saturday,Ordinary,Saturday of the twenty-fourth week,"1 Corinthians 15:35-37, 42-49",Psalm 55:10-14,,Luke 8:4-15,,,
460,2,25,Monday,Ordinary,Monday of the twenty-fifth week,Proverbs 3:27-34,Psalm 14:2-5,,Luke 8:16-18,,,
461,2,25,Tuesday,Ordinary,Tuesday of the twenty-fifth week,"Proverbs 21:1-6, 10-13","Psalm 118:1, 27, 30, 34-35, 44",,Luke 8:19-21,,,
462,2,25,Wednesday,Ordinary,Wednesday of the twenty-fifth week,Proverbs 30:5-9,"Psalm 118:29, 72, 89, 101, 104, 163",,Luke 9:1-6,,,
463,2,25,Thursday,Ordinary,Thursday of the twenty-fifth week,Ecclesiastes 1:2-11,"Psalm 89:3-6, 12-14, 17",,Luke 9:7-9,,,
464,2,25,Friday,Ordinary,Friday of the twenty-fifth week,Ecclesiastes 3:1-11,Psalm 143:1-4,,Luke 9:18-22,,,
465,2,25,Saturday,Ordinary,Saturday of the twenty-fifth week,Ecclesiastes 11:9-12:8,"Psalm 89:3-6, 12-14, 17",,Luke 9:43-45,,,
466,2,26,Monday,Ordinary,Monday of the twenty-sixth week,Job 1:6-22,"Psalm 16:1-3, 6-7",,Luke 9:46-50,,,
467,2,26,Tuesday,Ordinary,Tuesday of the twenty-sixth week,"Job 3:1-3, 11-17, 20-23",Psalm 87:2-8,,Luke 9:51-56,,,
468,2,26,Wednesday,Ordinary,Wednesday of the twenty-sixth week,"Job 9:1-12, 14-16",Psalm 87:10-15,,Luke 9:57-62,,,
469,2,26,Thursday,Ordinary,Thursday of the twenty-sixth week,Job 19:21-27,"Psalm 26:7-9, 13-14",,Luke 10:1-12,,,
470,2,26,Friday,Ordinary,Friday of the twenty-sixth week,"Job 38:1, 12-21; 40:3-5","Psalm 138:1-3, 7-10, 13-14",,Luke 10:13-16,,,
471,2,26,Saturday,Ordinary,Saturday of the twenty-sixth week,"Job 42:1-3, 5-6, 12-17","Psalm 118:66, 71, 75, 91, 125, 130",,Luke 10:17-24,,,
472,2,27,Monday,Ordinary,Monday of the twenty-seventh week,Galatians 1:6-12,"Psalm 110:1-2, 7-10",,Luke 10:25-37,,,
473,2,27,Tuesday,Ordinary,Tuesday of the twenty-seventh week,Galatians 1:13-24,"Psalm 138:1-3, 13-15",,Luke 10:38-42,,,
474,2,27,Wednesday,Ordinary,Wednesday of the twenty-seventh week,"Galatians 2:1-2,7-14",Psalm 116,,Luke 11:1-4,,,
475,2,27,Thursday,Ordinary,Thursday of the twenty-seventh week,Galatians 3:1-5,Luke 1:69-75,,Luke 11:5-13,,,
476,2,27,Friday,Ordinary,Friday of the twenty-seventh week,Galatians 3:7-14,Psalm 110:1-6,,Luke 11:15-26,,,
477,2,27,Saturday,Ordinary,Saturday of the twenty-seventh week,Galatians 3:22-29,Psalm 104:2-7,,Luke 11:27-28,,,
478,2,28,Monday,Ordinary,Monday of the twenty-eighth week,"Galatians 4:22-24, 26-27, 31 – 5:1",Psalm 112:1-7,,Luke 11:29-32,,,
479,2,28,Tuesday,Ordinary,Tuesday of the twenty-eighth week,Galatians 5:1-6,"Psalm 118:41, 43-45, 47-48",,Luke 11:37-41,,,
480,2,28,Wednesday,Ordinary,Wednesday of the twenty-eighth week,Galatians 5:18-25,"Psalm 1:1-4, 6",,Luke 11:42-46,,,
481,2,28,Thursday,Ordinary,Thursday of the twenty-eighth week,Ephesians 1:1-10,Psalm 97:1-6,,Luke 11:47-54,,,
482,2,28,Friday,Ordinary,Friday of the twenty-eighth week,Ephesians 1:11-14,"Psalm 32:1-2, 4-5, 12-13",,Luke 12:1-7,,,
483,2,28,Saturday,Ordinary,Saturday of the twenty-eighth week,Ephesians 1:15-23,Psalm 8:2-7,,Luke 12:8-12,,,
484,2,29,Monday,Ordinary,Monday of the twenty-ninth week,Ephesians 2:1-10,Psalm 99,,Luke 12:13-21,,,
485,2,29,Tuesday,Ordinary,Tuesday of the twenty-ninth week,Ephesians 2:12-22,Psalm 84:9-14,,Luke 12:35-38,,,
486,2,29,Wednesday,Ordinary,Wednesday of the twenty-ninth week,Ephesians 3:2-12,Isaiah 12:2-6,,Luke 12:39-48,,,
487,2,29,Thursday,Ordinary,Thursday of the twenty-ninth week,Ephesians 3:14-21,"Psalm 32:1-2, 4-5, 11-12, 18-19",,Luke 12:49-53,,,
488,2,29,Friday,Ordinary,Friday of the twenty-ninth week,Ephesians 4:1-6,Psalm 23:1-6,,Luke 12:54-59,,,
489,2,29,Saturday,Ordinary,Saturday of the twenty-ninth week,Ephesians 4:7-16,Psalm 121:1-5,,Luke 13:1-9,,,
490,2,30,Monday,Ordinary,Monday of the thirtieth week,Ephesians 4:32 – 5:8,"Psalm 1:1-4, 6",,Luke 13:10-17,,,
491,2,30,Tuesday,Ordinary,Tuesday of the thirtieth week,Ephesians 5:21-33,Psalm 127:1-5,,Luke 13:18-21,,,
492,2,30,Wednesday,Ordinary,Wednesday of the thirtieth week,Ephesians 6:1-9,Psalm 144:10-14,,Luke 13:22-30,,,
493,2,30,Thursday,Ordinary,Thursday of the thirtieth week,Ephesians 6:10-20,"Psalm 143:1-2, 9-10",,Luke 13:31-35,,,
494,2,30,Friday,Ordinary,Friday of the thirtieth week,Philippians 1:1-11,Psalm 110:1-6,,Luke 14:1-6,,,
495,2,30,Saturday,Ordinary,Saturday of the thirtieth week,Philippians 1:18-26,"Psalm 42:2-3, 5",,"Luke 14:1, 7-11",,,
496,2,31,Monday,Ordinary,Monday of the thirty-first week,Philippians 2:1-4,Psalm 130,,Luke 14:12-14,,,
497,2,31,Tuesday,Ordinary,Tuesday of the thirty-first week,Philippians 2:5-11,Psalm 21:26-32,,Luke 14:15-24,,,
498,2,31,Wednesday,Ordinary,Wednesday of the thirty-first week,Philippians 2:12-18,"Psalm 26:1, 4, 13-14",,Luke 14:25-33,,,
499,2,31,Thursday,Ordinary,Thursday of the thirty-first week,Philippians 3:3-8,Psalm 104:2-7,,Luke 15:1-10,,,
500,2,31,Friday,Ordinary,Friday of the thirty-first week,Philippians 3:17 – 4:1,Psalm 121:1-5,,Luke 16:1-8,,,
501,2,31,Saturday,Ordinary,Saturday of the thirty-first week,Philippians 4:10-19,"Psalm 111:1-2, 5-6, 8, 9",,Luke 16:9-15,,,
502,2,32,Monday,Ordinary,Monday of the thirty-second week,Titus 1:1-9,Psalm 23:1-6,,Luke 17:1-6,,,
503,2,32,Tuesday,Ordinary,Tuesday of the thirty-second week,"Titus 2:1-8, 11-14","Psalm 36:3-4, 18, 23, 27, 29",,Luke 17:7-10,,,
504,2,32,Wednesday,Ordinary,Wednesday of the thirty-second week,Titus 3:1-7,Psalm 22,,Luke 17:11-19,,,
505,2,32,Thursday,Ordinary,Thursday of the thirty-second week,Philemon 7-20,Psalm 145:7-10,,Luke 17:20-25,,,
506,2,32,Friday,Ordinary,Friday of the thirty-second week,2 John 1:4-9,"Psalm 118:1-2, 10-11, 17-18",,Luke 17:26-37,,,
507,2,32,Saturday,Ordinary,Saturday of the thirty-second week,3 John 5-8,Psalm 111:1-6,,Luke 18:1-8,,,
508,2,33,Monday,Ordinary,Monday of the thirty-third week,Revelation 1:1-4; 2:1-5,"Psalm 1:1-4, 6",,Luke 18:35-43,,,
509,2,33,Tuesday,Ordinary,Tuesday of the thirty-third week,"Revelation 3:1-6, 14-22",Psalm 14:2-5,,Luke 19:1-10,,,
510,2,33,Wednesday,Ordinary,Wednesday of the thirty-third week,Revelation 4:1-11,Psalm 150,,Luke 19:11-28,,,
511,2,33,Thursday,Ordinary,Thursday of the thirty-third week,Revelation 5:1-10,"Psalm 149:1-6, 9",,Luke 19:41-44,,,
512,2,33,Friday,Ordinary,Friday of the thirty-third week,Revelation 10:8-11,"Psalm 118:14, 24, 72, 103, 111, 131",,Luke 19:45-48,,,
513,2,33,Saturday,Ordinary,Saturday of the thirty-third week,Revelation 11:4-12,"Psalm 143:1-2, 9-10",,Luke 20:27-40,,,
514,2,34,Monday,Ordinary,Monday of the thirty-fourth week,Revelation 14:1-5,Psalm 23:1-6,,Luke 21:1-4,,,
515,2,34,Tuesday,Ordinary,Tuesday of the thirty-fourth week,Revelation 14:14-19,Psalm 95:10-13,,Luke 21:5-11,,,
516,2,34,Wednesday,Ordinary,Wednesday of the thirty-fourth week,Revelation 15:1-4,"Psalm 97:1-3, 7-9",,Luke 21:12-19,,,
517,2,34,Thursday,Ordinary,Thursday of the thirty-fourth week,"Revelation 18:1-2, 21-23; 19:1-3, 9",Psalm 99:2-5,,Luke 21:20-28,,,
518,2,34,Friday,Ordinary,Friday of the thirty-fourth week,"Revelation 20:1-4, 11-21:2","Psalm 83:3-6, 8",,Luke 21:29-33,,,
519,2,34,Saturday,Ordinary,Saturday of the thirty-fourth week,Revelation 22:1-7,Psalm 94:1-7,,Luke 21:34-36,,,
520,Feast,N/A,Fixed Day,Fixed Feast,"1 January – Mary, Mother of God",Numbers 6:22-27,"Psalm 66:2-3, 5, 6, 8",Galatians 4:4-7,Luke 2:16-21,,,
521,Feast,N/A,Fixed Day,Fixed Feast,2 January – Ss Basil the Great and Gregory Nazianzen,"Ephesians 4:1-7, 11-13",Psalm 22,,Matthew 23:8-12,,,
522,Feast,N/A,Fixed Day,Fixed Feast,3 January – The Most Holy Name of Jesus,Philippians 2:5-11,Psalm 8:4-9,,Luke 2:21-24,,,
523,Feast,N/A,Fixed Day,Fixed Feast,7 January – St Raymond of Penyafort,2 Corinthians 5:14-20,"Psalm 102:1-4, 8-9, 13-14, 17-18",,Luke 12:35-40,,,
524,Feast,N/A,Fixed Day,Fixed Feast,13 January – St Hilary,1 John 2:18-25,Psalm 109:1-4,,Matthew 5:13-19,,,
525,Feast,N/A,Fixed Day,Fixed Feast,17 January – St Anthony,"Ephesians 6:10-13, 18","Psalm 15:1-2, 5, 7-8, 11",,Matthew 19:16-26,,,
526,Feast,N/A,Fixed Day,Fixed Feast,20 January – St Fabian,1 Peter 5:1-4,"Psalm 39:2, 4, 7-10",,John 21:15-17,,,
527,Feast,N/A,Fixed Day,Fixed Feast,20 January – St Sebastian,1 Peter 3:14-17,Psalm 33:2-9,,Matthew 10:28-33,,,
528,Feast,N/A,Fixed Day,Fixed Feast,21 January – St Agnes,1 Corinthians 1:26-31,Psalm 22,,Matthew 13:44-46,,,
529,Feast,N/A,Fixed Day,Fixed Feast,22 January – St Vincent,2 Corinthians 4:7-15,Psalm 33:2-9,,Matthew 10:17-22,,,
530,Feast,N/A,Fixed Day,Fixed Feast,24 January – St Francis de Sales,Ephesians 3:8-12,"Psalm 36:3-6, 30-31",,John 15:9-17,,,
531,Feast,N/A,Fixed Day,Fixed Feast,"25 January – Conversion of St Paul, Apsotle",Acts 22:3-16,Psalm 116:1-2,,Mark 16:15-18,,,
532,Feast,N/A,Fixed Day,Fixed Feast,26 January – Australia Day,Isaiah 32:15-18,Psalm 84:9-14,1 Corinthians 12:4-11,Matthew 5:1-12,,,
533,Feast,N/A,Fixed Day,Fixed Feast,27 January – Ss Timothy and Titus,2 Timothy 1:1-8,"Psalm 95:1-3, 7-8, 10",,Luke 10:1-9,,,
534,Feast,N/A,Fixed Day,Fixed Feast,27 January – St Angela Merici,1 Peter 4:7-11,"Psalm 148:1-2, 11-14",,Mark 9:34-37,,,
535,Feast,N/A,Fixed Day,Fixed Feast,28 January – St Thomas Aquinas,"Wisdom 7:7-10, 15-16",Psalm 118:9-14,,Matthew 23:8-12,,,
536,Feast,N/A,Fixed Day,Fixed Feast,31 January – St John Bosco,Philippians 4:4-9,"Psalm 102:1-4, 8-9, 13-14, 17-18",,Matthew 18:1-5,,,
537,Feast,N/A,Fixed Day,Fixed Feast,2 February – Presentation of the Lord,Malachi 3:1-4,Psalm 23:7-10,Hebrews 2:14-18,Luke 2:22-40,,,
538,Feast,N/A,Fixed Day,Fixed Feast,3 February – St Blaise,Romans 5:1-5,Psalm 116,,Mark 16:15-20,,,
539,Feast,N/A,Fixed Day,Fixed Feast,3 February – St Ansgar,Isaiah 52:7-10,"Psalm 95:1-3, 7-8, 10",,Mark 1:14-20,,,
540,Feast,N/A,Fixed Day,Fixed Feast,5 February – St Agatha,1 Corinthians 1:26-31,"Psalm 30:3-4, 6, 8, 16-17",,Luke 9:23-26,,,
541,Feast,N/A,Fixed Day,Fixed Feast,6 February – Ss Paul Miki and companions,Galatians 2:19-20,Psalm 125,,Matthew 28:16-20,,,
542,Feast,N/A,Fixed Day,Fixed Feast,8 February – St Jerome Emiliani,Tobit 12:6-13,Psalm 33:2-11,,Mark 10:17-30,,,
543,Feast,N/A,Fixed Day,Fixed Feast,8 February – St Josephine Bakhita,Galatians 2:19-20,Psalm 33:2-11,,John 15:1-8,,,
544,Feast,N/A,Fixed Day,Fixed Feast,10 February – St Scholastica,Song of Songs 8:6-7,"Psalm 148:1-2, 11-14",,Luke 10:38-42,,,
545,Feast,N/A,Fixed Day,Fixed Feast,11 February – Our Lady of Lourdes,Isaiah 66:10-14,Judith 13:18-19,,John 2:1-11,,,
546,Feast,N/A,Fixed Day,Fixed Feast,14 February – Ss Cyril and Methodius,Acts 13:46-49,Psalm 116,,Luke 10:1-9,,,
547,Feast,N/A,Fixed Day,Fixed Feast,17 February – Seven Founders of the Order of Servites,Romans 8:26-30,Psalm 33:2-11,,Matthew 19:27-29,,,
548,Feast,N/A,Fixed Day,Fixed Feast,21 February – St Peter Damian,2 Timothy 4:1-5,"Psalm 15:1-2, 5, 7-8, 11",,John 15:1-8,,,
549,Feast,N/A,Fixed Day,Fixed Feast,22 February – Chair of Peter,1 Peter 5:1-4,Psalm 22,,Matthew 16:13-19,,,
550,Feast,N/A,Fixed Day,Fixed Feast,23 February – St Polycarp,Revelation 2:8-11,"Psalm 30:3-4, 6, 8, 16-17",,John 15:18-21,,,
551,Feast,N/A,Fixed Day,Fixed Feast,4 March – St Casimir,Philippians 3:8-14,Psalm 14:2-5,,John 15:9-17,,,
552,Feast,N/A,Fixed Day,Fixed Feast,7 March – Ss Perpetua and Felicity,Romans 8:31-39,"Psalm 123:2-5, 7-8",,Matthew 10:34-39,,,
553,Feast,N/A,Fixed Day,Fixed Feast,8 March – St John of God,1 John 3:14-18,Psalm 111:1-9,,Matthew 25:31-40,,,
554,Feast,N/A,Fixed Day,Fixed Feast,9 March – St Frances of Rome,"Proverbs 31:10-13, 19-20, 30-31",Psalm 33:2-11,,Matthew 22:35-40,,,
555,Feast,N/A,Fixed Day,Fixed Feast,17 March – St Patrick,Jeremiah 1:4-9,Psalm 116,Acts 13:46-49,"Luke 10:1-12, 17-20",,,
556,Feast,N/A,Fixed Day,Fixed Feast,18 March – St Cyril of Jerusalem,1 John 5:1-5,Psalm 18:8-11,,John 15:1-8,,,
557,Feast,N/A,Fixed Day,Fixed Feast,19 March – St Joseph,"2 Samuel 7:4-5, 12-14, 16","Psalm 88:2-5, 27, 29",Romans 4:13.16-18.22,"Matthew 1:16, 18-21, 24",,,
558,Feast,N/A,Fixed Day,Fixed Feast,23 March – St Turibius de Mogrovejo,2 Timothy 1:13-14; 2:1-3,"Psalm 95:1-3, 7-8, 10",,Matthew 9:35-37,,,
559,Feast,N/A,Fixed Day,Fixed Feast,25 March – Annunciation,"Isaiah 7:10-14, 8:10",Psalm 39:7-11,Hebrews 10:4-10,Luke 1:26-38,,,
560,Feast,N/A,Fixed Day,Fixed Feast,2 April – St Francis of Paola,Philippians 3:8-14,"Psalm 15:1-2, 5, 7-8, 11",,Luke 12:32-34,,,
561,Feast,N/A,Fixed Day,Fixed Feast,4 April – St Isidore,"2 Corinthians 4:1-2, 5-7","Psalm 36:3-6, 30-31",,Luke 6:43-45,,,
562,Feast,N/A,Fixed Day,Fixed Feast,5 April – St Vincent Ferrer,2 Timothy 4:1-5,"Psalm 39:2, 4, 7-10",,Luke 12:35-40,,,
563,Feast,N/A,Fixed Day,Fixed Feast,7 April – St John Baptist de la Salle,2 Timothy 1: 13-14; 2: 1-3,"Psalm 1:1-4, 6",,Matthew 18:1-5,,,
564,Feast,N/A,Fixed Day,Fixed Feast,11 April – St Stanislaus,Revelation 12:10-12,Psalm 33:2-9,,John 17:11-19,,,
565,Feast,N/A,Fixed Day,Fixed Feast,13 April – St Martin I,2 Timothy 2:8-13; 3:10-12,Psalm 125,,John 15:18-21,,,
566,Feast,N/A,Fixed Day,Fixed Feast,21 April – St Anselm,Ephesians 3:14-19,Psalm 33:2-11,,Matthew 7:21-29,,,
567,Feast,N/A,Fixed Day,Fixed Feast,23 April – St George,Revelation 21:5-7,Psalm 125,,Luke 9:23-26,,,
568,Feast,N/A,Fixed Day,Fixed Feast,23 April – St Adalbert,2 Corinthians 6:4-10,Psalm 125,,John 10:11-16,,,
569,Feast,N/A,Fixed Day,Fixed Feast,24 April – St Fidelis of Sigmaringen,Colossians 1:24-29,Psalm 33:2-9,,John 17:20-26,,,
570,Feast,N/A,Fixed Day,Fixed Feast,25 April – Anzac Day,Wisdom 3:1-9,Psalm 114,1 Corinthians 1:18-25,John 12:23-28,,,
571,Feast,N/A,Fixed Day,Fixed Feast,"26 April – St Mark, Evangelist",1 Peter 5:5-14,"Psalm 88:2-3, 6-7, 16-17",,Mark 16:15-20,,,
572,Feast,N/A,Fixed Day,Fixed Feast,28 April – St Peter Chanel,1 Corinthians 1:18-25,Psalm 116,,Mark 1:14-20,,,
573,Feast,N/A,Fixed Day,Fixed Feast,29 April – St Catherine of Siena,1 John 1:5-2:2,"Psalm 102:1-4, 8-9, 13-14, 17-18",,Matthew 11:25-30,,,
574,Feast,N/A,Fixed Day,Fixed Feast,30 April – St Pius V,1 Corinthians 4:1-5,Psalm 109:1-4,,John 21:15-17,,,
575,Feast,N/A,Fixed Day,Fixed Feast,1 May – St Joseph the Worker,Genesis 1:26-2:3,"Psalm 89:2-4, 12-14, 16",,Matthew 13:54-58,,,
576,Feast,N/A,Fixed Day,Fixed Feast,2 May – St Athanasius,1 John 5:1-5,"Psalm 36:3-6, 30-31",,Matthew 10:22-25,,,
577,Feast,N/A,Fixed Day,Fixed Feast,3 May – Ss Philip and James,1 Corinthians 15:1-8,Psalm 18:2-5,,John 14:6-14,,,
578,Feast,N/A,Fixed Day,Fixed Feast,12 May – Ss Nereus and Achilleus,Revelation 7:9-17,"Psalm 123:2-5, 7-8",,Matthew 10:17-22,,,
579,Feast,N/A,Fixed Day,Fixed Feast,12 May – St Pancras,"Revelation 19:1, 5-9","Psalm 102:1-4, 8-9, 13-14, 17-18",,Matthew 11:25-30,,,
580,Feast,N/A,Fixed Day,Fixed Feast,13 May – Our Lady of Fatima,Zechariah 2:14-17,Luke 1:46-55,,Matthew 12:46-50,,,
581,Feast,N/A,Fixed Day,Fixed Feast,14 May – St Matthias,"Acts 1:15-17, 20-26",Psalm 112:1-8,,John 15:9-17,,,
582,Feast,N/A,Fixed Day,Fixed Feast,18 May – St John I,"Revelation 3:14, 20-22",Psalm 22,,Luke 22:24-30,,,
583,Feast,N/A,Fixed Day,Fixed Feast,20 May – St Bernadine of Siena,Acts 4:8-12,"Psalm 39:2, 4, 7-10",,Luke 9:57-62,,,
584,Feast,N/A,Fixed Day,Fixed Feast,21 May – Ss Christopher Magallanes and companions,"2 Maccabees 7:1-2, 9-14","Psalm 123:2-5, 7-8",,Matthew 5:1-12,,,
585,Feast,N/A,Fixed Day,Fixed Feast,22 May – St Rita of Cascia,Galatians 2:19-20,Psalm 33:2-11,,John 15:1-8,,,
586,Feast,N/A,Fixed Day,Fixed Feast,"24 May – Mary Help of Christians, Year A",Sirach 4:11-18,Psalm 112:1-8,1 Corinthians 1:18-25,John 19:25-27,,,
587,Feast,N/A,Fixed Day,Fixed Feast,"24 May – Mary Help of Christians, Year B","Proverbs 31:10-13, 19-20, 30-31",Judith 13:18-20,James 3:13-18,Luke 1:39-56,,,
588,Feast,N/A,Fixed Day,Fixed Feast,"24 May – Mary Help of Christians, Year C","Genesis 3:9-15, 20","Psalm 102:1-4, 8-9, 11-12",Ephesians 3:14-19,Luke 8:19-21,,,
589,Feast,N/A,Fixed Day,Fixed Feast,25 May – Venerable Bede,1 Corinthians 2:10-16,Psalm 118:9-14,,Matthew 7:21-29,,,
